country,code,population,gdp_per_capita
American Samoa,ASA,55538,12038.25
Andorra,AND,70473,37475.64
Aruba,ARU,103889,28452.17
Bermuda,BER,65235,106885.88
British Virgin Islands,IVB,30117,43818
Cayman Islands,CAY,59967,78471.63
Cook Islands,COK,17459,16700
Cuba,CUB,11389562,8060.80
Eritrea,ERI,3380000,655.42
Guam,GUM,169885,36214.01
Iran,IRI,79109272,5253.43
"Korea, North",PRK,25155317,29288.87
Libya,LBA,6278438,4035.20
Liechtenstein,LIE,37531,165642.39
Mauritania,MTN,4067564,1536.85
Monaco,MON,37731,170028.66
Netherlands Antilles,AHO,25020,24200
"Palestine, Occupied Territories",PLE,4367000,3527.61
Papua New Guinea,PNG,7619321,2509.63
Puerto Rico,PUR,3474182,30627.16
San Marino,SMR,31781,43828.23
Syria,SYR,18502413,709
Taiwan,TPE,23618200,23071
Venezuela,VEN,31108083,9092.02
Virgin Islands,ISV,103574,36022.55
















