age,sport,gold,silver,bronze,total
22,aquatics,16,13,16,45
23,aquatics,11,13,16,40
21,aquatics,14,12,4,30
27,aquatics,8,9,9,26
26,aquatics,5,13,5,23
20,aquatics,9,4,10,23
25,aquatics,7,7,8,22
31,aquatics,9,5,4,18
19,aquatics,10,4,3,17
24,aquatics,6,7,4,17
28,aquatics,5,6,5,16
29,aquatics,4,4,7,15
30,aquatics,4,4,4,12
16,aquatics,1,1,4,6
18,aquatics,2,2,2,6
32,aquatics,1,2,2,5
34,aquatics,1,1,1,3
33,aquatics,2,0,1,3
36,aquatics,0,2,0,2
37,aquatics,0,1,1,2
35,aquatics,2,0,0,2
15,aquatics,1,0,0,1
17,aquatics,1,0,0,1
41,aquatics,0,0,0,0
39,aquatics,0,0,0,0
14,aquatics,0,0,0,0
40,aquatics,0,0,0,0
38,aquatics,0,0,0,0
28,archery,1,3,2,6
23,archery,2,0,2,4
20,archery,1,1,1,3
27,archery,0,2,0,2
21,archery,1,1,0,2
26,archery,0,1,1,2
29,archery,2,0,0,2
25,archery,0,0,2,2
24,archery,1,0,0,1
44,archery,0,0,0,0
38,archery,0,0,0,0
35,archery,0,0,0,0
22,archery,0,0,0,0
30,archery,0,0,0,0
37,archery,0,0,0,0
17,archery,0,0,0,0
36,archery,0,0,0,0
39,archery,0,0,0,0
42,archery,0,0,0,0
32,archery,0,0,0,0
19,archery,0,0,0,0
18,archery,0,0,0,0
31,archery,0,0,0,0
33,archery,0,0,0,0
34,archery,0,0,0,0
24,athletics,7,8,6,21
26,athletics,10,4,6,20
30,athletics,5,7,5,17
27,athletics,4,7,6,17
22,athletics,7,5,4,16
25,athletics,6,6,4,16
31,athletics,7,2,3,12
28,athletics,3,4,4,11
32,athletics,3,3,4,10
33,athletics,4,3,2,9
21,athletics,2,2,4,8
23,athletics,1,3,3,7
29,athletics,1,1,3,5
34,athletics,2,3,0,5
20,athletics,1,1,2,4
37,athletics,1,1,0,2
35,athletics,0,0,1,1
40,athletics,0,1,0,1
38,athletics,0,0,1,1
44,athletics,0,0,0,0
41,athletics,0,0,0,0
42,athletics,0,0,0,0
16,athletics,0,0,0,0
17,athletics,0,0,0,0
39,athletics,0,0,0,0
18,athletics,0,0,0,0
43,athletics,0,0,0,0
36,athletics,0,0,0,0
19,athletics,0,0,0,0
27,badminton,1,3,1,5
26,badminton,2,0,2,4
21,badminton,0,1,1,2
22,badminton,0,0,2,2
30,badminton,0,1,1,2
34,badminton,0,1,0,1
24,badminton,1,0,0,1
29,badminton,1,0,0,1
32,badminton,1,0,0,1
23,badminton,1,0,0,1
31,badminton,1,0,0,1
28,badminton,0,1,0,1
33,badminton,0,1,0,1
25,badminton,0,0,0,0
19,badminton,0,0,0,0
38,badminton,0,0,0,0
40,badminton,0,0,0,0
35,badminton,0,0,0,0
20,badminton,0,0,0,0
36,badminton,0,0,0,0
27,basketball,4,4,4,12
26,basketball,5,2,2,9
30,basketball,2,2,3,7
28,basketball,3,2,1,6
25,basketball,0,3,2,5
29,basketball,0,3,2,5
36,basketball,1,0,3,4
24,basketball,2,2,0,4
34,basketball,2,0,1,3
22,basketball,1,1,1,3
21,basketball,0,2,1,3
31,basketball,1,0,1,2
32,basketball,2,0,0,2
37,basketball,1,1,0,2
20,basketball,0,1,1,2
35,basketball,0,0,1,1
23,basketball,0,0,1,1
33,basketball,0,1,0,1
38,basketball,0,0,0,0
39,basketball,0,0,0,0
29,canoe,4,2,4,10
27,canoe,4,3,2,9
28,canoe,2,3,3,8
24,canoe,2,2,3,7
23,canoe,3,1,2,6
34,canoe,2,2,1,5
33,canoe,2,2,1,5
22,canoe,1,2,2,5
35,canoe,0,2,2,4
31,canoe,0,1,3,4
32,canoe,2,1,1,4
30,canoe,3,0,0,3
25,canoe,1,1,1,3
21,canoe,0,2,1,3
26,canoe,0,1,1,2
37,canoe,0,1,0,1
20,canoe,0,1,0,1
36,canoe,1,0,0,1
19,canoe,0,0,1,1
18,canoe,0,0,0,0
39,canoe,0,0,0,0
38,canoe,0,0,0,0
40,canoe,0,0,0,0
25,cycling,2,7,2,11
24,cycling,5,2,3,10
28,cycling,5,0,2,7
22,cycling,4,2,1,7
26,cycling,2,1,4,7
31,cycling,2,3,2,7
23,cycling,1,2,3,6
30,cycling,2,0,3,5
27,cycling,1,2,2,5
33,cycling,0,4,1,5
35,cycling,1,0,1,2
20,cycling,0,2,0,2
19,cycling,0,1,1,2
36,cycling,1,0,1,2
21,cycling,0,1,0,1
43,cycling,1,0,0,1
18,cycling,0,0,1,1
32,cycling,0,0,1,1
