age,height,weight,total
31,1.94,90,6
19,1.83,72,5
22,1.8,60,4
23,1.76,64,4
20,1.78,72,4
16,1.86,68,4
27,1.75,68,4
28,1.99,102,4
29,1.86,68,3
23,1.82,76,3
21,1.91,90,3
18,1.93,90,3
22,1.77,71,3
22,1.85,75,2
30,1.77,56,2
24,1.9,83,2
35,1.91,80,2
27,1.76,72,2
21,1.67,62,2
19,1.73,67,2
27,1.7,58,2
26,1.99,99,2
27,1.96,88,2
26,1.86,74,2
26,1.7,56,2
22,1.8,69,2
27,1.55,48,2
27,1.73,55,2
20,1.91,86,2
21,1.79,66,2
24,1.81,79,2
24,1.86,74,2
19,1.76,70,2
22,1.79,61,2
19,1.91,74,2
23,1.87,72,2
26,1.75,62,2
31,1.91,95,2
25,1.71,61,2
25,2,92,2
26,1.76,62,2
22,1.7,58,2
21,1.88,84,2
25,1.59,52,2
21,1.68,60,2
31,1.6,53,2
21,1.76,67,2
20,1.78,68,2
26,1.7,59,2
16,1.83,60,2
23,1.68,56,2
22,1.84,79,2
21,1.68,72,2
22,1.93,88,2
25,1.76,70,1
37,2.05,100,1
22,1.69,54,1
21,1.88,86,1
22,1.95,90,1
30,1.9,90,1
29,1.95,106,1
23,1.89,93,1
22,1.86,76,1
22,1.8,77,1
28,1.67,65,1
25,1.68,61,1
20,1.9,88,1
20,1.67,62,1
23,1.71,54,1
32,1.84,84,1
18,1.81,65,1
19,1.97,89,1
23,1.68,54,1
20,1.86,75,1
22,1.94,86,1
26,1.53,46,1
18,1.7,61,1
37,1.68,62,1
23,1.73,74,1
28,1.69,49,1
21,1.78,65,1
31,1.78,75,1
21,1.7,55,1
27,1.63,50,1
26,1.88,72,1
19,1.86,74,1
22,1.66,62,1
30,1.7,65,1
22,1.76,72,1
24,1.76,77,1
22,1.77,70,1
29,1.81,88,1
19,1.7,60,1
24,1.69,56,1
20,1.83,64,1
23,1.69,60,1
22,1.75,56,1
20,1.61,48,1
19,1.88,71,1
27,1.94,103,1
22,1.88,74,1
25,1.94,86,1
24,1.8,70,1
26,1.9,97,1
29,1.87,93,1
22,1.94,79,1
20,1.96,83,1
31,1.86,87,1
19,1.84,95,1
23,1.73,73,1
23,1.67,54,1
23,1.61,52,1
26,1.84,84,1
27,1.8,77,1
31,1.92,95,1
30,2,115,1
34,1.84,87,1
27,1.7,56,1
22,1.84,82,1
24,1.6,50,1
22,1.95,68,1
27,1.96,97,1
21,1.64,50,1
22,1.81,74,1
25,1.97,95,1
20,1.73,74,1
25,1.94,90,1
24,1.65,60,1
30,1.9,90,1
25,2.01,85,1
28,2,89,1
32,1.91,98,1
31,2.01,100,1
23,1.96,109,1
33,1.65,52,1
15,1.62,49,1
29,2.03,95,1
23,1.73,65,1
22,1.62,48,1
23,2.21,88,1
26,1.7,59,1
25,1.76,62,1
25,1.71,67,1
26,1.8,73,1
29,1.92,85,1
23,1.73,65,1
23,1.74,60,1
22,1.68,59,1
24,1.67,51,1
20,1.94,84,1
22,1.71,60,1
33,1.94,92,1
17,1.83,78,1
21,2.06,89,1
27,1.71,58,1
22,1.79,58,1
18,1.64,57,1
32,1.98,92,1
23,1.87,75,1
21,1.81,77,1
29,1.8,72,1
22,1.91,72,1
29,1.91,85,1
27,1.69,64,1
28,1.8,75,1
29,1.76,67,1
28,1.75,64,1
28,1.9,87,1
