height,sport,gold,silver,bronze,total
1.76,aquatics,6,7,6,19
1.86,aquatics,6,7,5,18
1.7,aquatics,3,7,8,18
1.73,aquatics,9,5,4,18
1.91,aquatics,10,3,4,17
1.94,aquatics,9,3,1,13
1.8,aquatics,2,5,5,12
1.83,aquatics,7,1,4,12
1.75,aquatics,5,4,3,12
1.88,aquatics,5,6,1,12
1.68,aquatics,3,3,5,11
1.78,aquatics,3,6,1,10
1.84,aquatics,1,2,7,10
1.67,aquatics,2,3,5,10
1.9,aquatics,1,4,4,9
1.93,aquatics,5,1,2,8
1.81,aquatics,4,2,1,7
1.71,aquatics,3,3,1,7
1.77,aquatics,3,1,3,7
1.96,aquatics,5,1,1,7
1.79,aquatics,2,3,1,6
1.95,aquatics,2,3,1,6
1.85,aquatics,0,2,4,6
1.69,aquatics,2,2,2,6
1.99,aquatics,2,2,2,6
1.74,aquatics,0,2,4,6
2,aquatics,1,4,0,5
1.64,aquatics,2,2,1,5
1.87,aquatics,1,3,1,5
1.92,aquatics,0,2,3,5
1.6,aquatics,1,2,2,5
1.97,aquatics,3,0,2,5
1.82,aquatics,1,1,1,3
1.66,aquatics,0,0,2,2
1.89,aquatics,1,0,1,2
1.72,aquatics,0,1,1,2
1.61,aquatics,0,1,1,2
2.01,aquatics,1,1,0,2
1.65,aquatics,0,1,1,2
1.62,aquatics,2,0,0,2
1.59,aquatics,2,0,0,2
1.55,aquatics,0,0,2,2
2.05,aquatics,0,1,1,2
2.06,aquatics,1,0,0,1
1.98,aquatics,0,1,0,1
2.02,aquatics,1,0,0,1
1.63,aquatics,0,0,1,1
1.54,aquatics,0,0,1,1
2.03,aquatics,0,1,0,1
2.21,aquatics,1,0,0,1
1.57,aquatics,1,0,0,1
1.53,aquatics,0,1,0,1
1.49,aquatics,0,0,0,0
1.43,aquatics,0,0,0,0
1.52,aquatics,0,0,0,0
1.58,aquatics,0,0,0,0
2.08,aquatics,0,0,0,0
1.51,aquatics,0,0,0,0
1.56,aquatics,0,0,0,0
1.5,aquatics,0,0,0,0
2.04,aquatics,0,0,0,0
1.81,archery,2,1,1,4
1.8,archery,1,2,0,3
1.58,archery,2,0,1,3
1.67,archery,1,0,1,2
1.74,archery,1,0,1,2
1.78,archery,0,2,0,2
1.69,archery,0,2,0,2
1.65,archery,0,0,2,2
1.86,archery,0,0,1,1
1.68,archery,1,0,0,1
1.76,archery,0,1,0,1
1.85,archery,0,0,1,1
1.9,archery,0,0,0,0
1.71,archery,0,0,0,0
1.62,archery,0,0,0,0
1.94,archery,0,0,0,0
1.57,archery,0,0,0,0
1.64,archery,0,0,0,0
1.84,archery,0,0,0,0
1.73,archery,0,0,0,0
1.6,archery,0,0,0,0
1.63,archery,0,0,0,0
1.66,archery,0,0,0,0
1.82,archery,0,0,0,0
1.91,archery,0,0,0,0
1.53,archery,0,0,0,0
1.77,archery,0,0,0,0
1.83,archery,0,0,0,0
1.75,archery,0,0,0,0
1.59,archery,0,0,0,0
1.7,archery,0,0,0,0
1.61,archery,0,0,0,0
1.88,archery,0,0,0,0
1.72,archery,0,0,0,0
1.68,athletics,5,8,1,14
1.73,athletics,5,4,3,12
1.83,athletics,5,3,3,11
1.75,athletics,3,6,2,11
1.76,athletics,3,2,4,9
1.81,athletics,3,1,4,8
1.78,athletics,3,1,4,8
1.7,athletics,1,4,2,7
1.8,athletics,1,3,3,7
1.85,athletics,4,1,2,7
1.88,athletics,3,2,1,6
1.96,athletics,4,1,1,6
1.66,athletics,2,1,3,6
1.67,athletics,4,1,1,6
1.6,athletics,2,2,1,5
1.86,athletics,1,3,1,5
1.71,athletics,1,1,3,5
1.91,athletics,3,0,2,5
1.93,athletics,1,2,1,4
1.9,athletics,1,1,2,4
1.62,athletics,1,3,0,4
1.72,athletics,0,0,3,3
1.87,athletics,2,0,1,3
1.79,athletics,0,2,1,3
1.98,athletics,0,0,2,2
2.07,athletics,1,0,1,2
1.54,athletics,1,1,0,2
1.64,athletics,0,0,2,2
1.92,athletics,1,1,0,2
1.82,athletics,0,1,1,2
1.65,athletics,0,2,0,2
1.77,athletics,0,2,0,2
1.52,athletics,0,1,1,2
1.55,athletics,0,1,0,1
1.95,athletics,0,0,1,1
1.57,athletics,1,0,0,1
1.63,athletics,1,0,0,1
2.01,athletics,1,0,0,1
1.56,athletics,0,0,1,1
1.61,athletics,0,0,0,0
1.89,athletics,0,0,0,0
1.69,athletics,0,0,0,0
1.5,athletics,0,0,0,0
1.45,athletics,0,0,0,0
2.05,athletics,0,0,0,0
1.21,athletics,0,0,0,0
1.33,athletics,0,0,0,0
1.38,athletics,0,0,0,0
2.04,athletics,0,0,0,0
1.59,athletics,0,0,0,0
1.97,athletics,0,0,0,0
1.47,athletics,0,0,0,0
1.58,athletics,0,0,0,0
1.84,athletics,0,0,0,0
1.53,athletics,0,0,0,0
2.02,athletics,0,0,0,0
1.48,athletics,0,0,0,0
1.74,athletics,0,0,0,0
2,athletics,0,0,0,0
2.08,athletics,0,0,0,0
1.99,athletics,0,0,0,0
