age,height,weight,total
28,1.78,70,2
26,1.71,63,2
27,1.72,63,2
28,1.74,65,2
28,1.75,72,2
23,1.58,51,1
35,1.81,74,1
33,1.7,60,1
28,1.86,78,1
25,1.6,54,1
22,1.68,67,1
16,1.5,45,1
33,1.65,54,1
22,1.61,55,1
26,1.8,67,1
28,1.56,48,1
35,1.7,65,1
22,1.62,51,1
23,1.77,61,1
25,1.7,72,0
35,1.68,60,0
25,1.7,70,0
33,1.78,77,0
30,1.85,78,0
28,1.7,55,0
25,1.75,67,0
22,1.66,59,0
36,1.85,78,0
27,1.71,56,0
28,1.8,75,0
31,1.74,80,0
37,1.75,60,0
40,1.64,60,0
22,1.7,65,0
38,1.73,60,0
31,1.73,63,0
20,1.67,62,0
31,1.7,65,0
22,1.71,58,0
26,1.6,53,0
22,1.79,76,0
24,1.6,53,0
20,1.66,60,0
20,1.82,74,0
27,1.8,70,0
29,1.59,54,0
24,1.62,52,0
22,1.62,56,0
30,1.68,58,0
21,1.83,54,0
34,1.6,46,0
43,1.63,58,0
33,1.77,77,0
43,1.67,60,0
28,1.66,42,0
32,1.65,52,0
22,1.69,63,0
24,1.59,56,0
33,1.8,71,0
24,1.84,75,0
25,1.84,77,0
16,1.66,51,0
27,1.7,58,0
24,1.98,99,0
20,1.75,64,0
25,1.83,82,0
19,1.78,66,0
35,1.57,52,0
29,1.76,74,0
23,1.86,67,0
20,1.66,58,0
23,1.68,52,0
29,1.93,82,0
21,1.79,63,0
23,1.74,66,0
28,1.8,75,0
30,1.8,68,0
29,1.76,62,0
39,1.55,52,0
34,1.72,67,0
25,1.91,88,0
27,1.65,53,0
26,1.66,65,0
27,1.66,50,0
26,1.65,56,0
27,1.73,57,0
32,1.49,47,0
24,1.63,53,0
23,1.62,54,0
36,1.59,54,0
27,1.73,64,0
30,1.67,62,0
24,1.74,70,0
34,1.79,80,0
25,1.7,67,0
30,1.5,70,0
41,1.67,59,0
25,1.96,93,0
27,1.82,72,0
20,1.68,60,0
36,1.87,85,0
34,1.74,68,0
26,1.76,80,0
35,1.78,77,0
36,1.58,48,0
30,1.78,65,0
30,1.68,60,0
30,1.6,54,0
31,1.66,49,0
28,1.8,81,0
37,1.78,72,0
36,1.8,67,0
21,1.86,74,0
26,1.8,69,0
42,1.72,70,0
34,1.86,85,0
22,1.82,77,0
22,1.81,69,0
23,1.68,69,0
28,1.86,69,0
40,1.7,68,0
22,1.68,63,0
23,1.62,58,0
33,1.78,67,0
30,1.85,76,0
30,1.63,55,0
25,1.76,65,0
21,1.78,64,0
38,1.75,60,0
40,1.89,83,0
-47,1.57,58,0
28,1.8,75,0
27,1.65,57,0
31,1.65,57,0
31,1.59,55,0
37,1.6,59,0
37,1.65,65,0
22,1.83,73,0
32,1.67,56,0
22,1.68,54,0
19,1.86,71,0
23,1.73,65,0
24,1.82,65,0
21,1.65,50,0
26,1.61,50,0
33,1.8,74,0
-46,1.73,73,0
26,1.62,70,0
38,1.75,71,0
24,1.68,61,0
36,1.86,85,0
16,1.6,50,0
25,1.73,67,0
41,1.78,85,0
26,1.92,80,0
29,1.78,66,0
30,1.85,85,0
27,1.66,73,0
24,1.69,73,0
25,1.91,87,0
21,1.59,48,0
36,1.7,68,0
35,1.78,76,0
19,1.75,68,0
22,1.68,62,0
16,1.7,54,0
21,1.66,58,0
31,1.8,88,0
