weight,sport,gold,silver,bronze,total
72,aquatics,9,7,3,19
90,aquatics,10,4,4,18
68,aquatics,6,5,6,17
74,aquatics,6,6,1,13
60,aquatics,3,5,5,13
61,aquatics,2,4,6,12
56,aquatics,4,0,7,11
64,aquatics,3,4,3,10
77,aquatics,2,5,3,10
62,aquatics,1,5,4,10
58,aquatics,3,4,3,10
88,aquatics,6,1,2,9
75,aquatics,0,4,4,8
65,aquatics,5,2,1,8
67,aquatics,2,2,3,7
70,aquatics,2,2,3,7
59,aquatics,1,2,4,7
86,aquatics,5,1,1,7
79,aquatics,2,1,3,6
84,aquatics,1,4,1,6
95,aquatics,1,1,4,6
76,aquatics,1,4,1,6
102,aquatics,2,0,4,6
48,aquatics,2,0,3,5
85,aquatics,0,3,2,5
92,aquatics,2,2,1,5
87,aquatics,0,3,2,5
52,aquatics,2,2,1,5
69,aquatics,2,1,2,5
54,aquatics,2,1,2,5
53,aquatics,1,1,2,4
73,aquatics,1,1,2,4
71,aquatics,1,1,2,4
93,aquatics,2,1,1,4
83,aquatics,2,2,0,4
89,aquatics,3,1,0,4
80,aquatics,2,2,0,4
55,aquatics,2,1,1,4
78,aquatics,2,2,0,4
99,aquatics,0,3,0,3
97,aquatics,2,0,1,3
66,aquatics,0,2,1,3
49,aquatics,3,0,0,3
50,aquatics,1,0,2,3
115,aquatics,0,2,0,2
100,aquatics,1,0,1,2
96,aquatics,1,0,1,2
98,aquatics,1,0,1,2
81,aquatics,1,0,1,2
106,aquatics,1,1,0,2
91,aquatics,2,0,0,2
104,aquatics,1,0,0,1
109,aquatics,0,1,0,1
51,aquatics,0,1,0,1
82,aquatics,0,0,1,1
101,aquatics,1,0,0,1
105,aquatics,1,0,0,1
57,aquatics,0,1,0,1
103,aquatics,0,1,0,1
46,aquatics,0,1,0,1
47,aquatics,0,0,0,0
113,aquatics,0,0,0,0
45,aquatics,0,0,0,0
120,aquatics,0,0,0,0
110,aquatics,0,0,0,0
39,aquatics,0,0,0,0
107,aquatics,0,0,0,0
125,aquatics,0,0,0,0
108,aquatics,0,0,0,0
40,aquatics,0,0,0,0
63,aquatics,0,0,0,0
118,aquatics,0,0,0,0
130,aquatics,0,0,0,0
94,aquatics,0,0,0,0
57,archery,1,1,1,3
63,archery,0,2,1,3
86,archery,0,1,1,2
84,archery,2,0,0,2
77,archery,0,1,1,2
53,archery,1,0,1,2
50,archery,2,0,0,2
70,archery,0,1,0,1
102,archery,0,0,1,1
80,archery,1,0,0,1
60,archery,0,0,1,1
68,archery,0,1,0,1
83,archery,0,1,0,1
69,archery,0,0,1,1
95,archery,1,0,0,1
72,archery,0,0,0,0
89,archery,0,0,0,0
65,archery,0,0,0,0
76,archery,0,0,0,0
90,archery,0,0,0,0
75,archery,0,0,0,0
55,archery,0,0,0,0
42,archery,0,0,0,0
51,archery,0,0,0,0
73,archery,0,0,0,0
64,archery,0,0,0,0
52,archery,0,0,0,0
61,archery,0,0,0,0
115,archery,0,0,0,0
46,archery,0,0,0,0
79,archery,0,0,0,0
74,archery,0,0,0,0
48,archery,0,0,0,0
81,archery,0,0,0,0
87,archery,0,0,0,0
58,archery,0,0,0,0
98,archery,0,0,0,0
59,archery,0,0,0,0
105,archery,0,0,0,0
82,archery,0,0,0,0
96,archery,0,0,0,0
56,archery,0,0,0,0
130,archery,0,0,0,0
92,archery,0,0,0,0
78,archery,0,0,0,0
66,archery,0,0,0,0
88,archery,0,0,0,0
58,athletics,8,4,4,16
57,athletics,3,7,1,11
70,athletics,4,3,4,11
72,athletics,4,4,1,9
80,athletics,1,3,3,7
68,athletics,2,1,2,5
74,athletics,2,1,2,5
55,athletics,2,2,1,5
65,athletics,1,3,1,5
95,athletics,4,0,1,5
85,athletics,3,1,1,5
61,athletics,0,2,3,5
81,athletics,3,1,0,4
71,athletics,1,1,2,4
60,athletics,1,1,2,4
75,athletics,1,0,3,4
62,athletics,0,1,3,4
56,athletics,2,1,1,4
67,athletics,0,3,1,4
47,athletics,1,2,1,4
120,athletics,1,1,1,3
77,athletics,0,2,1,3
76,athletics,1,0,2,3
64,athletics,0,1,2,3
45,athletics,1,0,2,3
50,athletics,1,1,1,3
86,athletics,2,0,1,3
69,athletics,1,1,0,2
51,athletics,1,1,0,2
40,athletics,1,1,0,2
59,athletics,1,0,1,2
53,athletics,0,1,1,2
54,athletics,1,0,1,2
92,athletics,1,0,1,2
84,athletics,1,1,0,2
83,athletics,1,0,1,2
66,athletics,0,1,1,2
79,athletics,0,0,2,2
133,athletics,0,1,0,1
128,athletics,0,0,1,1
