country,gdp_per_capita,gdp,gold,silver,bronze,total
United States,56115.7184261955,18036648000000,136,52,70,258
Germany,41313.3139945434,3363446822668.29,49,44,66,159
United Kingdom,43875.9696143686,2858003087965.69,63,54,24,141
China,8027.68381013907,11007720594138.9,46,29,34,109
Russia,9092.58053606884,1310211868100.77,51,25,31,107
France,36205.5681017036,2418835532882.33,18,52,19,89
Australia,56310.9629933721,1339140527498.13,23,34,25,82
Italy,29957.8043154372,1821496964400.58,8,40,24,72
Canada,43248.529909341,1550536520141.93,4,4,61,69
Japan,32477.2151449234,4123257609614.73,17,13,35,65
Brazil,8538.5899749574,1774724818900.48,36,8,6,50
Netherlands,44299.768085383,750283908173.451,9,24,13,46
Spain,25831.5823052954,1199057336142.84,9,19,17,45
Denmark,51989.2934712354,295091333721.319,15,10,16,41
New Zealand,37807.9672760442,173754075210.516,6,25,5,36
Sweden,50579.6736486777,495623697305.492,2,23,3,28
Jamaica,5232.02458271187,14262190323.0222,10,16,2,28
"Korea, South",27221.5240509661,1377873107856.33,13,3,10,26
Croatia,11535.8293558997,48732003674.3801,7,15,1,23
Argentina,13431.8783398577,583168571071.408,21,1,0,22
South Africa,5723.97335690212,314571945857.401,2,6,14,22
Hungary,12363.5434596539,121715203207.646,12,3,7,22
Belgium,40324.0277657215,455085726960.186,2,17,2,21
Poland,12554.5475536313,477066454436.927,3,3,10,16
Azerbaijan,5496.34464026248,53047140347.4527,1,6,9,16
Ukraine,2114.95471628444,95592146257.5674,2,8,5,15
Czech Republic,17548.3382129701,185156359571.116,1,2,12,15
Fiji,4960.51995438419,4425503074.70408,13,0,0,13
Kazakhstan,10509.9810699442,184388432148.716,2,3,7,12
Belarus,5740.45649479562,54608962634.9907,1,4,7,12
Kenya,1376.71282894881,63398041540.367,6,6,0,12
Switzerland,80945.0792194742,670789928809.881,6,3,2,11
Malaysia,9768.32686011881,296283190372.552,0,7,1,8
Slovakia,16088.2775872723,87263622047.2443,3,5,0,8
Turkey,9125.68758972936,717879788566.76,1,3,4,8
Ethiopia,619.169406475891,61539711686.6937,1,2,5,8
Iran,5253.43,415595022802.96,3,1,4,8
Greece,18002.2305776688,194851319174.892,3,1,3,7
Lithuania,14147.0493792403,41170728956.4157,0,2,5,7
Bulgaria,6993.47735975728,50199117547.0415,0,1,6,7
Georgia,3795.97330845042,13965385801.7891,2,1,4,7
"Korea, North",29288.87,736770809421.79,2,3,2,7
Thailand,5814.76976382355,395168025882.03,2,2,2,6
Colombia,6056.14771720405,292080155633.31,3,1,2,6
Uzbekistan,2132.07036847857,66732736498.195,1,0,5,6
Taiwan,23071,544895492200,1,0,4,5
Cuba,8060.8,91808981369.6,2,2,1,5
Indonesia,3346.48703949478,861933968740.331,2,2,0,4
Estonia,17118.5042003236,22459443273.8162,0,0,4,4
