country,sport,num_medals
AFG,,0
ALB,,0
ALG,athletics,2
AND,,0
ANG,,0
ANT,,0
ARG,hockey,18
ARM,weightlifting,2
ARM,wrestling,2
ARU,,0
ASA,,0
AUS,aquatics,34
AUT,sailing,2
AZE,wrestling,9
BAH,athletics,3
BAN,,0
BAR,,0
BDI,athletics,1
BEL,hockey,16
BEN,,0
BER,,0
BHU,,0
BIH,,0
BIZ,,0
BLR,canoe,4
BOL,,0
BOT,,0
BRA,football,18
BRN,athletics,2
BRU,,0
BUL,gymnastics,5
BUR,,0
CAF,,0
CAM,,0
CAN,aquatics,18
CAN,football,18
CAY,,0
CGO,,0
CHA,,0
CHI,,0
CHN,aquatics,31
CIV,taekwondo,1
CMR,,0
COD,,0
COK,,0
COL,weightlifting,2
COL,cycling,2
COM,,0
CPV,,0
CRC,,0
CRO,aquatics,13
CUB,wrestling,3
CYP,,0
CZE,canoe,6
DEN,handball,14
DJI,,0
DMA,,0
DOM,taekwondo,1
ECU,,0
EGY,weightlifting,2
ERI,,0
ESA,,0
ESP,basketball,24
EST,rowing,4
ETH,athletics,8
FIJ,rugby sevens,13
FIN,,0
FRA,handball,30
FSM,,0
GAB,,0
GBR,rowing,26
GBS,,0
GEO,wrestling,3
GEQ,,0
GER,football,36
GHA,,0
GRE,sailing,2
GRE,shooting,2
GRN,,0
GUA,,0
GUI,,0
GUM,,0
GUY,,0
HAI,,0
HKG,,0
HON,,0
HUN,aquatics,7
HUN,canoe,7
HUN,fencing,7
INA,weightlifting,2
INA,badminton,2
IND,wrestling,1
IND,badminton,1
IOA,shooting,2
IRI,wrestling,5
IRL,rowing,2
IRQ,,0
ISL,,0
ISR,judo,2
ISV,,0
ITA,aquatics,33
IVB,,0
JAM,athletics,28
JOR,taekwondo,1
JPN,aquatics,21
KAZ,weightlifting,5
KEN,athletics,12
KGZ,,0
KOR,archery,9
KOS,judo,1
KSA,,0
LAO,,0
LAT,,0
LBA,,0
LCA,,0
LES,,0
LIB,,0
LIE,,0
LTU,rowing,4
LUX,,0
MAD,,0
MAR,,0
MAS,badminton,5
MAW,,0
MDA,canoe,1
MEX,taekwondo,1
MEX,aquatics,1
MEX,modern pentathlon,1
MEX,athletics,1
MGL,judo,1
MKD,,0
MLI,,0
MLT,,0
MON,,0
MOZ,,0
MRI,,0
MTN,,0
MYA,,0
NAM,,0
NCA,,0
NED,hockey,16
NEP,,0
NGR,,0
NIG,taekwondo,1
NOR,,0
NRU,,0
NZL,rugby sevens,12
OMA,,0
PAK,,0
PAN,,0
PAR,,0
PER,,0
PHI,weightlifting,1
PLE,,0
PLW,,0
PNG,,0
POL,rowing,6
POR,judo,1
PRK,weightlifting,4
PUR,tennis,1
QAT,athletics,1
ROU,rowing,9
RSA,rugby sevens,13
RUS,aquatics,26
RWA,,0
SAM,,0
SEN,,0
SEY,,0
SIN,aquatics,1
SKN,,0
SLO,judo,2
SMR,,0
SOL,,0
SRB,basketball,24
SRI,,0
STP,,0
SUD,,0
SUI,rowing,4
SUR,,0
SVK,canoe,7
SWE,football,18
SWZ,,0
SYR,,0
TAN,,0
TGA,,0
THA,weightlifting,4
TJK,athletics,1
TKM,,0
TOG,,0
TPE,archery,3
TTO,athletics,1
TUN,taekwondo,1
TUN,fencing,1
TUN,wrestling,1
TUR,wrestling,5
UAE,judo,1
UKR,fencing,5
URU,,0
USA,aquatics,88
UZB,wrestling,3
VAN,,0
VEN,athletics,1
VEN,cycling,1
VIE,shooting,2
VIN,,0
YEM,,0
ZAM,,0
ZIM,,0
